scan,MRI_Type,dataset,type
kopmr1_0915202209_21_44_814,3T,UCSD,training
kopmr1_0915202209_22_29_914,3T,UCSD,training
kopmr1_0915202209_23_26_26,3T,UCSD,training
kopmr1_0915202209_24_35_192,3T,UCSD,training
kopmr1_0915202209_25_25_959,3T,UCSD,training
kopmr1_0915202209_26_16_32,3T,UCSD,training
kopmr1_0915202209_57_10_643,3T,UCSD,training
kopmr1_0915202212_23_53_959,3T,UCSD,training
kopmr1_0328202308_33_48_177,3T,UCSD,validation
kopmr1_0328202308_35_38_59,3T,UCSD,validation
kopmr1_0328202308_37_01_989,3T,UCSD,validation
kopmr1_0328202308_37_39_90,3T,UCSD,validation
kopmr1_0328202308_38_35_505,3T,UCSD,validation
kopmr1_0328202308_39_39_57,3T,UCSD,validation
kopmr1_0328202308_53_12_22,3T,UCSD,validation
kopmr1_0328202308_54_15_808,3T,UCSD,validation
kopmr1_0418202307_59_13_896,3T,UCSD,training
kopmr1_0418202308_01_42_240,3T,UCSD,training
kopmr1_0418202308_03_11_191,3T,UCSD,training
kopmr1_0418202308_04_23_158,3T,UCSD,training
kopmr1_0418202308_05_16_482,3T,UCSD,training
kopmr1_0418202308_22_46_548,3T,UCSD,training
kopmr1_0418202308_29_26_940,3T,UCSD,training
kopmr1_0418202308_30_18_935,3T,UCSD,training
mractri_0818202214_08_12_983,3T,UCSD,training
mractri_0818202214_09_30_238,3T,UCSD,training
mractri_0818202214_48_58_637,3T,UCSD,training
mractri_0818202214_50_17_336,3T,UCSD,training
mractri_0818202214_50_52_490,3T,UCSD,training
mractri_0818202214_51_34_776,3T,UCSD,training
mractri_0818202214_52_17_35,3T,UCSD,training
mractri_0818202214_53_02_162,3T,UCSD,training
mractri_0818202217_05_02_858,3T,UCSD,training
mractri_0818202217_07_16_520,3T,UCSD,training
mractri_0901202213_02_17_197,3T,UCSD,training
mractri_0901202213_05_08_764,3T,UCSD,training
mractri_0901202213_06_53_535,3T,UCSD,training
mractri_0901202213_08_02_646,3T,UCSD,training
mractri_0901202213_08_58_497,3T,UCSD,training
mractri_0901202214_29_38_926,3T,UCSD,training
mractri_0901202214_31_08_512,3T,UCSD,training
mractri_0901202215_04_38_741,3T,UCSD,training
mractri_0901202215_05_15_643,3T,UCSD,training
mractri_0901202215_05_59_373,3T,UCSD,training
mractri_0901202215_06_44_326,3T,UCSD,training
mractri_0901202215_07_31_125,3T,UCSD,training
mractri_0901202215_08_16_240,3T,UCSD,training
mractri_0908202209_04_00_385,3T,UCSD,training
mractri_0908202209_05_47_820,3T,UCSD,training
mractri_0908202209_41_39_196,3T,UCSD,training
mractri_0908202209_42_19_316,3T,UCSD,training
mractri_0908202209_43_07_334,3T,UCSD,training
mractri_0908202209_43_53_317,3T,UCSD,training
mractri_0908202209_44_36_82,3T,UCSD,training
mractri_0908202209_45_12_802,3T,UCSD,training
mractri_0908202213_22_06_647,3T,UCSD,training
mractri_0908202213_24_31_294,3T,UCSD,training
mractri_0908202213_29_47_76,3T,UCSD,training
mractri_0908202213_30_22_616,3T,UCSD,training
mractri_0908202213_31_03_826,3T,UCSD,training
mractri_0908202213_31_36_319,3T,UCSD,training
mractri_0908202214_16_43_832,3T,UCSD,training
mractri_0908202214_17_11_495,3T,UCSD,training
mractri_0915202209_30_27_776,3T,UCSD,training
mractri_0915202209_32_01_434,3T,UCSD,training
mractri_0915202209_38_22_257,3T,UCSD,training
mractri_0915202209_38_48_162,3T,UCSD,training
mractri_0915202209_39_22_107,3T,UCSD,training
mractri_0915202209_39_52_159,3T,UCSD,training
mractri_0915202209_40_30_666,3T,UCSD,training
mractri_0915202209_41_05_870,3T,UCSD,training
mractri_0915202213_17_35_534,3T,UCSD,training
mractri_0915202213_19_13_409,3T,UCSD,training
mractri_0915202214_01_43_915,3T,UCSD,training
mractri_0915202214_02_36_638,3T,UCSD,training
mractri_0915202214_03_42_802,3T,UCSD,training
mractri_0915202214_04_24_671,3T,UCSD,training
mractri_0915202214_05_18_847,3T,UCSD,training
mractri_0915202214_06_06_851,3T,UCSD,training
mractri_0916202215_30_56_246,3T,UCSD,test
mractri_0929202211_17_15_513,3T,UCSD,training
mractri_0929202211_18_10_466,3T,UCSD,training
mractri_0929202211_18_48_762,3T,UCSD,training
mractri_0929202211_19_17_246,3T,UCSD,training
mractri_0929202211_20_34_905,3T,UCSD,training
mractri_0929202211_21_46_635,3T,UCSD,training
mractri_0929202211_23_06_991,3T,UCSD,training
mractri_0929202211_27_12_595,3T,UCSD,training
mractri_1006202210_40_54_734,3T,UCSD,training
mractri_1006202210_41_47_631,3T,UCSD,training
mractri_1006202210_42_22_193,3T,UCSD,training
mractri_1006202210_43_07_194,3T,UCSD,training
mractri_1006202212_34_02_479,3T,UCSD,training
mractri_1006202212_36_56_101,3T,UCSD,training
mractri_1006202212_38_22_702,3T,UCSD,training
mractri_1006202212_39_58_13,3T,UCSD,training
mractri_1006202213_49_54_693,3T,UCSD,training
mractri_1006202213_50_42_538,3T,UCSD,training
mractri_1006202213_51_29_891,3T,UCSD,training
mractri_1006202213_52_21_374,3T,UCSD,training
mractri_1006202213_53_05_113,3T,UCSD,training
mractri_1006202213_53_50_981,3T,UCSD,training
mractri_1006202213_54_25_606,3T,UCSD,training
mractri_1006202213_55_18_85,3T,UCSD,training
mractri_1007202214_16_35_510,3T,UCSD,training
mractri_1013202210_43_41_1,3T,UCSD,training
mractri_1013202210_49_14_994,3T,UCSD,training
mractri_1013202212_03_28_341,3T,UCSD,training
mractri_1013202212_04_18_568,3T,UCSD,training
mractri_1013202212_05_16_33,3T,UCSD,training
mractri_1013202212_06_35_801,3T,UCSD,training
mractri_1013202212_07_35_183,3T,UCSD,training
mractri_1013202212_08_22_620,3T,UCSD,training
mractri_1013202212_09_43_717,3T,UCSD,training
mractri_1013202212_10_52_598,3T,UCSD,training
mractri_1013202213_21_39_270,3T,UCSD,training
mractri_1013202213_23_26_933,3T,UCSD,training
mractri_1013202214_14_41_197,3T,UCSD,training
mractri_1013202214_15_22_685,3T,UCSD,training
mractri_1013202214_16_25_630,3T,UCSD,training
mractri_1013202214_18_45_130,3T,UCSD,training
mractri_1013202214_19_37_832,3T,UCSD,training
mractri_1013202214_20_30_739,3T,UCSD,training
mractri_1013202216_22_43_873,3T,UCSD,training
mractri_1013202216_23_39_137,3T,UCSD,training
mractri_1013202216_24_53_541,3T,UCSD,training
mractri_1013202216_25_49_107,3T,UCSD,training
mractri_1013202216_26_53_544,3T,UCSD,training
mractri_1013202216_27_45_261,3T,UCSD,training
mractri_1013202216_28_13_525,3T,UCSD,training
mractri_1013202216_31_27_811,3T,UCSD,training
mractri_1027202214_59_27_728,3T,UCSD,training
mractri_1027202215_00_48_204,3T,UCSD,training
mractri_1027202215_01_19_257,3T,UCSD,training
mractri_1027202215_01_56_400,3T,UCSD,training
mractri_1027202215_02_39_968,3T,UCSD,training
mractri_1027202215_03_23_73,3T,UCSD,training
mractri_1027202215_04_01_297,3T,UCSD,training
mractri_1027202215_04_35_307,3T,UCSD,training
mractri_1031202215_36_07_288,3T,UCSD,training
mractri_1031202215_38_59_431,3T,UCSD,training
mractri_1031202215_40_34_418,3T,UCSD,training
mractri_1031202215_41_11_96,3T,UCSD,training
mractri_1031202216_25_53_923,3T,UCSD,training
mractri_1031202216_26_40_603,3T,UCSD,training
mractri_1031202216_27_16_369,3T,UCSD,training
mractri_1031202216_27_56_474,3T,UCSD,training
mractri_1103202211_03_57_772,3T,UCSD,test
mractri_1117202208_34_46_260,3T,UCSD,test
mractri_1201202211_12_25_199,3T,UCSD,test
mractri_1208202210_05_25_128,3T,UCSD,validation
mractri_1208202210_07_03_108,3T,UCSD,validation
mractri_1208202210_13_06_172,3T,UCSD,validation
mractri_1208202210_13_54_860,3T,UCSD,validation
mractri_1208202210_47_02_761,3T,UCSD,validation
mractri_1208202210_47_40_833,3T,UCSD,validation
mractri_1208202210_48_16_447,3T,UCSD,validation
mractri_1208202210_48_59_851,3T,UCSD,validation
mractri_1208202213_06_32_340,3T,UCSD,validation
mractri_1208202213_15_07_749,3T,UCSD,validation
mractri_1208202213_17_50_349,3T,UCSD,validation
mractri_1208202213_19_07_666,3T,UCSD,validation
mractri_1208202213_20_21_941,3T,UCSD,validation
mractri_1208202213_24_05_732,3T,UCSD,validation
mractri_1208202213_24_51_89,3T,UCSD,validation
mractri_1208202213_25_33_543,3T,UCSD,validation
mractri_1209202212_13_07_738,3T,UCSD,training
mractri_1209202212_17_57_514,3T,UCSD,training
mractri_1209202212_20_23_808,3T,UCSD,training
mractri_0119202311_34_17_129,3T,UCSD,training
mractri_0119202311_34_51_129,3T,UCSD,training
mractri_0119202311_35_30_865,3T,UCSD,training
mractri_0119202311_36_12_581,3T,UCSD,training
mractri_0119202311_36_44_120,3T,UCSD,training
mractri_0119202311_37_20_31,3T,UCSD,training
mractri_0119202311_37_49_523,3T,UCSD,training
mractri_0119202311_38_25_900,3T,UCSD,training
mractri_0119202314_10_26_49,3T,UCSD,training
mractri_0119202314_11_08_417,3T,UCSD,training
mractri_0119202314_12_00_639,3T,UCSD,training
mractri_0119202314_12_44_569,3T,UCSD,training
mractri_0119202314_13_25_251,3T,UCSD,training
mractri_0119202314_14_03_778,3T,UCSD,training
mractri_0119202314_18_59_777,3T,UCSD,training
mractri_0119202314_21_15_362,3T,UCSD,training
mractri_0119202316_21_02_534,3T,UCSD,training
mractri_0119202316_21_57_746,3T,UCSD,training
mractri_0119202316_23_45_165,3T,UCSD,training
mractri_0119202316_24_35_970,3T,UCSD,training
mractri_0119202316_24_58_955,3T,UCSD,training
mractri_0119202316_25_19_863,3T,UCSD,training
mractri_0119202316_25_45_703,3T,UCSD,training
mractri_0119202316_26_10_112,3T,UCSD,training
mractri_0209202308_35_58_378,3T,UCSD,test
mractri_0209202314_02_39_581,3T,UCSD,test
mractri_0302202313_58_12_704,3T,UCSD,training
mractri_0302202313_59_06_869,3T,UCSD,training
mractri_0302202313_59_52_583,3T,UCSD,training
mractri_0302202314_02_37_273,3T,UCSD,training
mractri_0302202314_04_12_898,3T,UCSD,training
mractri_0309202311_42_25_244,3T,UCSD,test
mractri_0309202314_21_06_87,3T,UCSD,test
mractri_0310202308_12_30_210,3T,UCSD,training
mractri_0310202308_14_31_58,3T,UCSD,training
mractri_0310202308_21_04_612,3T,UCSD,training
mractri_0310202308_21_35_446,3T,UCSD,training
mractri_0310202308_22_07_481,3T,UCSD,training
mractri_0310202308_22_39_319,3T,UCSD,training
mractri_0310202308_23_07_622,3T,UCSD,training
mractri_0310202308_23_33_128,3T,UCSD,training
thorntonmr_0829202209_57_40_138,1.5T,UCSD,training
thorntonmr_0829202209_58_32_379,1.5T,UCSD,training
thorntonmr_0829202210_08_47_252,1.5T,UCSD,training
thorntonmr_0829202210_10_26_940,1.5T,UCSD,training
thorntonmr_0829202210_12_22_467,1.5T,UCSD,training
thorntonmr_0829202210_16_05_583,1.5T,UCSD,training
thorntonmr_0829202210_31_31_152,1.5T,UCSD,training
thorntonmr_0829202211_00_38_896,1.5T,UCSD,training
thorntonmr_0901202209_30_01_808,1.5T,UCSD,training
thorntonmr_0901202210_25_55_238,1.5T,UCSD,training
thorntonmr_0902202209_22_29_142,1.5T,UCSD,training
thorntonmr_0912202209_20_32_525,1.5T,UCSD,test
thorntonmr_0914202211_31_46_396,1.5T,UCSD,test
thorntonmr_0915202210_23_50_440,1.5T,UCSD,training
thorntonmr_0915202217_22_04_885,1.5T,UCSD,training
thorntonmr_0915202217_23_18_271,1.5T,UCSD,training
thorntonmr_0915202217_32_48_895,1.5T,UCSD,training
thorntonmr_0915202217_33_51_595,1.5T,UCSD,training
thorntonmr_0915202217_34_55_13,1.5T,UCSD,training
thorntonmr_0915202217_42_27_670,1.5T,UCSD,training
thorntonmr_0915202217_47_57_792,1.5T,UCSD,training
thorntonmr_0915202217_49_51_104,1.5T,UCSD,training
thorntonmr_0920202209_39_27_624,1.5T,UCSD,training
thorntonmr_0920202209_40_23_341,1.5T,UCSD,training
thorntonmr_0920202209_46_55_97,1.5T,UCSD,training
thorntonmr_0920202209_47_40_585,1.5T,UCSD,training
thorntonmr_0920202209_48_58_745,1.5T,UCSD,training
thorntonmr_0920202209_49_35_967,1.5T,UCSD,training
thorntonmr_0920202209_50_22_645,1.5T,UCSD,training
thorntonmr_0920202210_08_25_765,1.5T,UCSD,training
thorntonmr_0926202211_37_34_416,1.5T,UCSD,training
thorntonmr_0926202211_38_49_235,1.5T,UCSD,training
thorntonmr_0926202211_40_57_676,1.5T,UCSD,training
thorntonmr_0926202211_42_44_671,1.5T,UCSD,training
thorntonmr_0926202211_45_06_83,1.5T,UCSD,training
thorntonmr_0926202211_47_52_31,1.5T,UCSD,training
thorntonmr_0926202211_49_28_144,1.5T,UCSD,training
thorntonmr_0926202211_50_23_97,1.5T,UCSD,training
thorntonmr_0927202214_44_55_659,1.5T,UCSD,training
thorntonmr_0927202214_46_30_388,1.5T,UCSD,training
thorntonmr_0927202214_49_02_457,1.5T,UCSD,training
thorntonmr_0927202214_51_22_444,1.5T,UCSD,training
thorntonmr_0927202215_05_37_2,1.5T,UCSD,training
thorntonmr_0927202215_06_41_405,1.5T,UCSD,training
thorntonmr_0927202215_07_36_413,1.5T,UCSD,training
thorntonmr_0927202215_08_40_93,1.5T,UCSD,training
thorntonmr_0929202211_59_57_902,1.5T,UCSD,training
thorntonmr_0929202212_01_12_369,1.5T,UCSD,training
thorntonmr_0929202212_04_26_337,1.5T,UCSD,training
thorntonmr_0929202212_05_18_664,1.5T,UCSD,training
thorntonmr_0929202212_10_32_415,1.5T,UCSD,training
thorntonmr_0929202212_11_13_776,1.5T,UCSD,training
thorntonmr_0929202212_37_44_894,1.5T,UCSD,training
thorntonmr_0930202211_10_41_548,1.5T,UCSD,training
thorntonmr_0930202211_11_20_649,1.5T,UCSD,training
thorntonmr_0930202211_19_03_652,1.5T,UCSD,training
thorntonmr_0930202211_20_14_793,1.5T,UCSD,training
thorntonmr_0930202211_22_18_988,1.5T,UCSD,training
thorntonmr_0930202211_22_50_52,1.5T,UCSD,training
thorntonmr_0930202211_48_31_201,1.5T,UCSD,training
thorntonmr_1005202211_41_10_783,1.5T,UCSD,training
thorntonmr_1005202211_42_11_851,1.5T,UCSD,training
thorntonmr_1005202211_54_14_998,1.5T,UCSD,training
thorntonmr_1005202211_55_15_745,1.5T,UCSD,training
thorntonmr_1005202211_56_41_33,1.5T,UCSD,training
thorntonmr_1005202211_58_24_931,1.5T,UCSD,training
thorntonmr_1005202211_59_34_446,1.5T,UCSD,training
thorntonmr_1005202213_04_26_589,1.5T,UCSD,training
thorntonmr_1006202210_12_07_334,1.5T,UCSD,training
thorntonmr_1006202210_13_37_533,1.5T,UCSD,training
thorntonmr_1006202210_28_52_771,1.5T,UCSD,training
thorntonmr_1006202210_31_17_682,1.5T,UCSD,training
thorntonmr_1006202210_32_21_796,1.5T,UCSD,training
thorntonmr_1006202210_49_09_338,1.5T,UCSD,training
thorntonmr_1006202210_50_18_833,1.5T,UCSD,training
thorntonmr_1006202210_57_19_600,1.5T,UCSD,training
thorntonmr_1006202214_15_04_753,1.5T,UCSD,training
thorntonmr_1006202214_16_25_460,1.5T,UCSD,training
thorntonmr_1006202214_21_00_848,1.5T,UCSD,training
thorntonmr_1006202214_24_33_219,1.5T,UCSD,training
thorntonmr_1006202214_26_32_551,1.5T,UCSD,training
thorntonmr_1006202214_28_03_68,1.5T,UCSD,training
thorntonmr_1006202214_29_31_417,1.5T,UCSD,training
thorntonmr_1006202214_31_22_90,1.5T,UCSD,training
thorntonmr_1012202211_45_20_321,1.5T,UCSD,training
thorntonmr_1012202211_47_20_864,1.5T,UCSD,training
thorntonmr_1012202212_05_14_730,1.5T,UCSD,training
thorntonmr_1012202212_07_10_584,1.5T,UCSD,training
thorntonmr_1012202212_09_07_19,1.5T,UCSD,training
thorntonmr_1012202212_10_23_423,1.5T,UCSD,training
thorntonmr_1012202212_11_17_229,1.5T,UCSD,training
thorntonmr_1012202212_12_18_226,1.5T,UCSD,training
thorntonmr_1013202209_30_07_3,1.5T,UCSD,training
thorntonmr_1013202209_31_03_452,1.5T,UCSD,training
thorntonmr_1013202209_39_55_216,1.5T,UCSD,training
thorntonmr_1013202209_41_03_700,1.5T,UCSD,training
thorntonmr_1013202209_42_41_781,1.5T,UCSD,training
thorntonmr_1013202209_56_22_665,1.5T,UCSD,training
thorntonmr_1013202209_57_40_165,1.5T,UCSD,training
thorntonmr_1013202209_59_42_809,1.5T,UCSD,training
thorntonmr_1018202210_50_21_266,1.5T,UCSD,test
thorntonmr_1024202212_26_00_644,1.5T,UCSD,test
thorntonmr_1028202211_24_28_201,1.5T,UCSD,training
thorntonmr_1028202211_26_08_831,1.5T,UCSD,training
thorntonmr_1028202211_27_41_755,1.5T,UCSD,training
thorntonmr_1028202211_40_49_311,1.5T,UCSD,training
thorntonmr_1028202211_41_55_829,1.5T,UCSD,training
thorntonmr_1028202211_42_48_987,1.5T,UCSD,training
thorntonmr_1028202211_44_58_902,1.5T,UCSD,training
thorntonmr_1028202212_03_28_571,1.5T,UCSD,training
thorntonmr_1101202210_54_20_808,1.5T,UCSD,test
thorntonmr_1103202209_52_25_637,1.5T,UCSD,test
thorntonmr_1115202214_15_25_608,1.5T,UCSD,validation
thorntonmr_1115202214_17_06_495,1.5T,UCSD,validation
thorntonmr_1115202214_27_58_71,1.5T,UCSD,validation
thorntonmr_1115202214_28_55_818,1.5T,UCSD,validation
thorntonmr_1115202214_30_09_292,1.5T,UCSD,validation
thorntonmr_1115202214_31_16_731,1.5T,UCSD,validation
thorntonmr_1115202214_51_37_917,1.5T,UCSD,validation
thorntonmr_1115202214_57_25_671,1.5T,UCSD,validation
thorntonmr_1122202211_35_56_726,1.5T,UCSD,training
thorntonmr_1122202211_37_39_828,1.5T,UCSD,training
thorntonmr_1122202211_46_27_717,1.5T,UCSD,training
thorntonmr_1122202211_48_58_567,1.5T,UCSD,training
thorntonmr_1122202211_50_01_703,1.5T,UCSD,training
thorntonmr_1122202211_53_19_827,1.5T,UCSD,training
thorntonmr_1122202211_56_14_991,1.5T,UCSD,training
thorntonmr_1122202212_20_56_139,1.5T,UCSD,training
thorntonmr_1129202209_55_42_713,1.5T,UCSD,test
thorntonmr_1205202211_16_30_504,1.5T,UCSD,validation
thorntonmr_1205202211_17_33_505,1.5T,UCSD,validation
thorntonmr_1205202211_22_39_965,1.5T,UCSD,validation
thorntonmr_1205202211_23_35_999,1.5T,UCSD,validation
thorntonmr_1205202211_24_28_59,1.5T,UCSD,validation
thorntonmr_1205202211_25_25_205,1.5T,UCSD,validation
thorntonmr_1205202211_25_51_911,1.5T,UCSD,validation
thorntonmr_1205202211_56_09_363,1.5T,UCSD,validation
thorntonmr_1207202209_29_53_977,1.5T,UCSD,training
thorntonmr_1207202209_30_52_232,1.5T,UCSD,training
thorntonmr_1207202209_40_48_672,1.5T,UCSD,training
thorntonmr_1207202209_41_28_251,1.5T,UCSD,training
thorntonmr_1207202209_42_23_708,1.5T,UCSD,training
thorntonmr_1207202209_43_59_385,1.5T,UCSD,training
thorntonmr_1207202209_45_02_987,1.5T,UCSD,training
thorntonmr_1207202210_44_33_163,1.5T,UCSD,training
thorntonmr_1209202213_20_07_426,1.5T,UCSD,training
thorntonmr_1209202213_21_32_898,1.5T,UCSD,training
thorntonmr_1209202213_30_36_630,1.5T,UCSD,training
thorntonmr_1209202213_34_53_860,1.5T,UCSD,training
thorntonmr_1209202213_35_28_655,1.5T,UCSD,training
thorntonmr_1209202213_36_23_859,1.5T,UCSD,training
thorntonmr_1209202213_37_47_412,1.5T,UCSD,training
thorntonmr_1209202213_44_18_948,1.5T,UCSD,training
thorntonmr_1213202209_31_12_897,1.5T,UCSD,validation
thorntonmr_1213202209_33_24_456,1.5T,UCSD,validation
thorntonmr_1213202209_39_59_255,1.5T,UCSD,validation
thorntonmr_1213202209_46_18_283,1.5T,UCSD,validation
thorntonmr_1213202209_49_35_519,1.5T,UCSD,validation
thorntonmr_1213202209_51_16_602,1.5T,UCSD,validation
thorntonmr_1213202210_28_32_658,1.5T,UCSD,validation
thorntonmr_1213202211_23_50_778,1.5T,UCSD,validation
thorntonmr_1215202212_43_26_165,1.5T,UCSD,test
thorntonmr_1215202219_00_54_350,1.5T,UCSD,test
thorntonmr_1216202208_06_39_244,1.5T,UCSD,training
thorntonmr_1216202208_13_28_139,1.5T,UCSD,training
thorntonmr_1216202208_26_30_159,1.5T,UCSD,training
thorntonmr_1220202215_59_00_124,1.5T,UCSD,training
thorntonmr_1220202216_07_19_272,1.5T,UCSD,training
thorntonmr_1223202212_00_08_287,1.5T,UCSD,test
thorntonmr_1229202211_57_24_313,1.5T,UCSD,training
thorntonmr_1229202211_59_53_324,1.5T,UCSD,training
thorntonmr_1229202212_12_44_188,1.5T,UCSD,training
thorntonmr_1229202212_13_44_822,1.5T,UCSD,training
thorntonmr_1229202212_15_32_825,1.5T,UCSD,training
thorntonmr_1229202212_39_10_195,1.5T,UCSD,training
thorntonmr_1229202212_39_48_476,1.5T,UCSD,training
thorntonmr_1229202212_40_35_886,1.5T,UCSD,training
thorntonmr_0104202309_15_22_525,1.5T,UCSD,training
thorntonmr_0104202309_16_11_680,1.5T,UCSD,training
thorntonmr_0104202309_29_30_114,1.5T,UCSD,training
thorntonmr_0104202309_30_32_780,1.5T,UCSD,training
thorntonmr_0104202309_31_35_524,1.5T,UCSD,training
thorntonmr_0104202309_33_03_799,1.5T,UCSD,training
thorntonmr_0104202309_35_14_599,1.5T,UCSD,training
thorntonmr_0104202309_45_48_368,1.5T,UCSD,training
thorntonmr_0106202310_46_25_391,1.5T,UCSD,training
thorntonmr_0106202310_47_25_581,1.5T,UCSD,training
thorntonmr_0106202310_54_31_526,1.5T,UCSD,training
thorntonmr_0106202310_55_11_767,1.5T,UCSD,training
thorntonmr_0106202310_57_03_696,1.5T,UCSD,training
thorntonmr_0106202310_58_00_894,1.5T,UCSD,training
thorntonmr_0106202311_06_34_331,1.5T,UCSD,training
thorntonmr_0106202311_13_49_495,1.5T,UCSD,training
thorntonmr_0110202310_32_53_849,1.5T,UCSD,test
thorntonmr_0111202310_29_53_998,1.5T,UCSD,validation
thorntonmr_0111202310_31_22_503,1.5T,UCSD,validation
thorntonmr_0111202310_36_29_597,1.5T,UCSD,validation
thorntonmr_0111202310_40_21_406,1.5T,UCSD,validation
thorntonmr_0111202310_40_53_527,1.5T,UCSD,validation
thorntonmr_0111202310_42_10_544,1.5T,UCSD,validation
thorntonmr_0111202310_43_19_159,1.5T,UCSD,validation
thorntonmr_0111202310_43_43_837,1.5T,UCSD,validation
thorntonmr_0117202316_52_22_295,1.5T,UCSD,training
thorntonmr_0117202316_53_51_84,1.5T,UCSD,training
thorntonmr_0117202317_01_27_539,1.5T,UCSD,training
thorntonmr_0117202317_02_29_55,1.5T,UCSD,training
thorntonmr_0117202317_03_23_391,1.5T,UCSD,training
thorntonmr_0117202317_04_13_762,1.5T,UCSD,training
thorntonmr_0117202317_17_42_679,1.5T,UCSD,training
thorntonmr_0117202317_41_55_59,1.5T,UCSD,training
thorntonmr_0118202308_39_31_358,1.5T,UCSD,training
thorntonmr_0118202308_40_28_617,1.5T,UCSD,training
thorntonmr_0118202308_45_26_619,1.5T,UCSD,training
thorntonmr_0118202308_55_07_996,1.5T,UCSD,training
thorntonmr_0118202308_56_39_6,1.5T,UCSD,training
thorntonmr_0118202308_57_25_284,1.5T,UCSD,training
thorntonmr_0118202308_58_14_824,1.5T,UCSD,training
thorntonmr_0118202309_15_38_443,1.5T,UCSD,training
thorntonmr_0119202309_10_31_29,1.5T,UCSD,training
thorntonmr_0119202314_57_16_656,1.5T,UCSD,training
thorntonmr_0119202314_58_26_183,1.5T,UCSD,training
thorntonmr_0119202315_05_24_945,1.5T,UCSD,training
thorntonmr_0119202315_06_13_800,1.5T,UCSD,training
